Fuel,Oxidizer,L*min [m],L*max [m]
A50,CLF3,0.51,0.89
A50,IRFNA,0.76,0.89
A50,N2O4,0.76,0.89
A50,HNO3,0.76,0.89
A50,MON15,0.76,0.89
A50,MON25,0.76,0.89
C2H2,IRFNA,2,3
C2H2,HNO3,2,3
Ethane,IRFNA,2,3
Ethane,HNO3,2,3
Ethanol,IRFNA,2,3
Ethanol,LOX,2.5,3
Ethanol,HNO3,2,3
Ethanol,LO2_NASA,2.5,3
Ethanol,N2O, 6.6, 7.33
Gasoline,IRFNA,2,3
Gasoline,HNO3,2,3
GH2,LOX,0.56,0.71
GH2,LO2_NASA,0.56,0.71
Hydrazine,IRFNA,0.75,0.9
Hydrazine,F2,0.61,0.71
Hydrazine,N2O4,0.75,0.9
Hydrazine,HNO3,0.75,0.9
Hydrazine,MON15,0.75,0.9
Hydrazine,MON25,0.75,0.9
Hydrazine-base,CLF3,0.51,0.89
Hydrazine-base,IRFNA,0.76,0.89
Hydrazine-base,N2O4,0.76,0.89
Hydrazine-base,HNO3,0.76,0.89
Hydrazine-base,MON15,0.76,0.89
Hydrazine-base,MON25,0.76,0.89
Isopropanol,IRFNA,2,3
Isopropanol,HNO3,2,3
JetA,IRFNA,2,3
JetA,HNO3,2,3
Kerosene,LOX,1.5,2.5
Kerosene,LO2_NASA,1.5,2.5
Kerosine,IRFNA,2,3
Kerosine,HNO3,2,3
LH2,GF2,0.55,0.66
LH2,F2,0.64,0.76
LH2,LOX,0.76,1.02
LH2,LO2_NASA,0.76,1.02
Methane,IRFNA,2,3
Methane,HNO3,2,3
Methanol,IRFNA,2,3
Methanol,HNO3,2,3
MMH,CLF3,0.51,0.89
MMH,IRFNA,0.76,0.89
MMH,N2O4,0.76,0.89
MMH,HNO3,0.76,0.89
MMH,MON15,0.76,0.89
MMH,MON25,0.76,0.89
NH3,F2,1,1.5
NH3,LOX,0.76,1.02
NH3,LO2_NASA,0.76,1.02
Propane,IRFNA,2,3
Propane,HNO3,2,3
RP1,98_H2O2,1.52,1.78
RP1,90_H2O2,1.52,1.78
RP1,IRFNA,2,3
RP1,LOX,1.02,1.27
RP1,HNO3,2,3
RP1,LO2_NASA,1.02,1.27
UDMH,IRFNA,1.2,2
UDMH,HNO3,1.2,2
